metodo;sujeito;avg_accuracy
eegnet64;1;0.7569444444444444
eegnet64;2;0.4704861111111111
eegnet64;3;0.8506944444444444
eegnet64;4;0.5746527777777778
eegnet64;5;0.5677083333333334
eegnet64;6;0.5347222222222222
eegnet64;7;0.703125
eegnet64;8;0.8038194444444444
eegnet64;9;0.8420138888888888
eegnet32;1;0.7777777777777778
eegnet32;2;0.4739583333333333
eegnet32;3;0.8385416666666666
eegnet32;4;0.5746527777777778
eegnet32;5;0.5052083333333334
eegnet32;6;0.4878472222222222
eegnet32;7;0.7083333333333334
eegnet32;8;0.796875
eegnet32;9;0.859375
df_TT_64;1;0.7378472222222222
df_TT_64;2;0.4392361111111111
df_TT_64;3;0.8663194444444444
df_TT_64;4;0.5590277777777778
df_TT_64;5;0.4375
df_TT_64;6;0.5173611111111112
df_TT_64;7;0.7864583333333334
df_TT_64;8;0.8263888888888888
df_TT_64;9;0.8645833333333334
df_TF_64;1;0.7517361111111112
df_TF_64;2;0.4861111111111111
df_TF_64;3;0.8628472222222222
df_TF_64;4;0.5434027777777778
df_TF_64;5;0.4288194444444444
df_TF_64;6;0.53125
df_TF_64;7;0.7482638888888888
df_TF_64;8;0.8263888888888888
df_TF_64;9;0.8784722222222222
df_FT_64;1;0.7361111111111112
df_FT_64;2;0.4444444444444444
df_FT_64;3;0.8524305555555556
df_FT_64;4;0.5815972222222222
df_FT_64;5;0.4791666666666667
df_FT_64;6;0.5503472222222222
df_FT_64;7;0.7447916666666666
df_FT_64;8;0.8194444444444444
df_FT_64;9;0.8524305555555556
df_FF_64;1;0.7569444444444444
df_FF_64;2;0.4704861111111111
df_FF_64;3;0.8472222222222222
df_FF_64;4;0.5711805555555556
df_FF_64;5;0.453125
df_FF_64;6;0.515625
df_FF_64;7;0.7881944444444444
df_FF_64;8;0.8125
df_FF_64;9;0.8680555555555556
df_TT_32;1;0.7465277777777778
df_TT_32;2;0.5034722222222222
df_TT_32;3;0.8854166666666666
df_TT_32;4;0.5954861111111112
df_TT_32;5;0.4982638888888889
df_TT_32;6;0.5607638888888888
df_TT_32;7;0.7864583333333334
df_TT_32;8;0.8177083333333334
df_TT_32;9;0.8680555555555556
df_TF_32;1;0.7430555555555556
df_TF_32;2;0.4826388888888889
df_TF_32;3;0.8559027777777778
df_TF_32;4;0.5694444444444444
df_TF_32;5;0.4427083333333333
df_TF_32;6;0.5364583333333334
df_TF_32;7;0.7829861111111112
df_TF_32;8;0.8020833333333334
df_TF_32;9;0.8732638888888888
df_FT_32;1;0.75
df_FT_32;2;0.46875
df_FT_32;3;0.8576388888888888
df_FT_32;4;0.5746527777777778
df_FT_32;5;0.4930555555555556
df_FT_32;6;0.5190972222222222
df_FT_32;7;0.7777777777777778
df_FT_32;8;0.8125
df_FT_32;9;0.8576388888888888
df_FF_32;1;0.7673611111111112
df_FF_32;2;0.46875
df_FF_32;3;0.8715277777777778
df_FF_32;4;0.5503472222222222
df_FF_32;5;0.4652777777777778
df_FF_32;6;0.5243055555555556
df_FF_32;7;0.7621527777777778
df_FF_32;8;0.8194444444444444
df_FF_32;9;0.859375
